epoch,accuracy,loss,val_accuracy,val_loss
0,0.37890949845314026,1.3229833841323853,0.4755043089389801,1.2706918716430664
1,0.6440631151199341,0.9818963408470154,0.6570605039596558,0.9150322079658508
2,0.7940769195556641,0.5879688858985901,0.6945244669914246,0.784147322177887
3,0.8488790392875671,0.42376086115837097,0.7002881765365601,0.7586579322814941
4,0.8754497766494751,0.33913686871528625,0.6887608170509338,0.8083212971687317
5,0.9017437100410461,0.2814295291900635,0.680115282535553,0.8712854981422424
6,0.9219484925270081,0.23606248199939728,0.6657060384750366,0.9419893622398376
7,0.9385552406311035,0.19527991116046906,0.6829971075057983,0.9804075360298157
8,0.9449211359024048,0.1706141233444214,0.6916426420211792,1.00473952293396
9,0.9554386734962463,0.1512870192527771,0.6887608170509338,1.0720468759536743
10,0.9615278244018555,0.13277553021907806,0.6916426420211792,1.110797643661499
11,0.9642956256866455,0.11789508163928986,0.680115282535553,1.1857084035873413
12,0.9662330746650696,0.10792962461709976,0.680115282535553,1.2497369050979614
13,0.9706615209579468,0.09628775715827942,0.6945244669914246,1.266912579536438
14,0.9695543646812439,0.10117829591035843,0.6829971075057983,1.3192052841186523
15,0.973706066608429,0.0862744078040123,0.6829971075057983,1.3458399772644043
16,0.973706066608429,0.08027482032775879,0.6714697480201721,1.417978286743164
17,0.9731525182723999,0.08505737036466599,0.6685879230499268,1.4480245113372803
18,0.9759202599525452,0.07636810839176178,0.6628242135047913,1.4450738430023193
19,0.974259614944458,0.06987584382295609,0.6657060384750366,1.5777904987335205
20,0.9745364189147949,0.07343749701976776,0.6829971075057983,1.5429699420928955
21,0.9775809645652771,0.07018418610095978,0.6743515729904175,1.6005693674087524
22,0.9775809645652771,0.06618796288967133,0.6772334575653076,1.5772877931594849
23,0.9775809645652771,0.06167208403348923,0.6685879230499268,1.6205241680145264
24,0.976473867893219,0.06545957922935486,0.680115282535553,1.6255719661712646
